tema,país,año,total_videos(estimado),visitas_top50,duracion_media,engagement
loneliness,UK,2025,1000000,101497559,4.81,2029951.18
anxiety,US,2025,1000000,86364241,10.11,1727284.82
feel understood,US,2025,238930,84659340,4.57,1693186.8
feel understood,UK,2025,238932,84318457,5.76,3372738.28
loss of attention,US,2025,258156,65699294,3.16,1313985.88
depression,US,2025,1000000,60125548,12.75,1202510.96
mental health,UK,2025,1000000,45602807,10.49,912056.14
mental health,US,2025,1000000,43883033,7.6,877660.66
social media addiction,UK,2025,267086,20040100,23.89,400802.0
social media addiction,US,2025,267098,19902533,25.35,398050.66
loss of attention,UK,2025,258159,17524131,3.53,700965.24
loneliness,US,2025,1000000,16789780,10.38,335795.6
anxiety,UK,2025,1000000,8821308,7.5,352852.32
depression,UK,2025,1000000,7868414,7.38,157368.28
